"name","version"
"altgraph","0.17.5"
"annotated-types","0.7.0"
"anyio","4.12.0"
"babel","2.17.0"
"beautifulsoup4","4.14.3"
"blinker","1.9.0"
"bottle","0.13.4"
"CacheControl","0.14.4"
"cachetools","6.2.2"
"certifi","2025.11.12"
"cffi","2.0.0"
"charset-normalizer","3.4.4"
"click","8.3.1"
"clr_loader","0.2.8"
"colorama","0.4.6"
"comtypes","1.4.13"
"cryptography","46.0.3"
"exceptiongroup","1.3.1"
"firebase_admin","7.1.0"
"Flask","3.1.2"
"flask-cors","6.0.1"
"google-ai-generativelanguage","0.6.15"
"google-api-core","2.28.1"
"google-api-python-client","2.187.0"
"google-auth","2.43.0"
"google-auth-httplib2","0.2.1"
"google-cloud-core","2.5.0"
"google-cloud-firestore","2.21.0"
"google-cloud-storage","3.6.0"
"google-crc32c","1.7.1"
"google-generativeai","0.8.5"
"google-resumable-media","2.8.0"
"googleapis-common-protos","1.72.0"
"grpcio","1.76.0"
"grpcio-status","1.71.2"
"h11","0.16.0"
"h2","4.3.0"
"hpack","4.1.0"
"httpcore","1.0.9"
"httplib2","0.31.0"
"httpx","0.28.1"
"hyperframe","6.1.0"
"idna","3.11"
"itsdangerous","2.2.0"
"Jinja2","3.1.6"
"MarkupSafe","3.0.3"
"MouseInfo","0.1.3"
"msgpack","1.1.2"
"numpy","2.2.6"
"oauthlib","3.3.1"
"packaging","25.0"
"pefile","2024.8.26"
"pillow","12.0.0"
"pip","25.3"
"proto-plus","1.26.1"
"protobuf","5.29.5"
"proxy_tools","0.1.0"
"psutil","7.1.3"
"pyarmor","9.2.1"
"pyarmor.cli.core","8.1.0"
"pyasn1","0.6.1"
"pyasn1_modules","0.4.2"
"PyAudio","0.2.14"
"PyAutoGUI","0.9.54"
"pycparser","2.23"
"pydantic","2.12.5"
"pydantic_core","2.41.5"
"PyGetWindow","0.0.9"
"pyinstaller","6.17.0"
"pyinstaller-hooks-contrib","2025.10"
"PyJWT","2.10.1"
"PyMsgBox","2.0.1"
"pyOpenSSL","25.3.0"
"pyparsing","3.2.5"
"pyperclip","1.11.0"
"pypiwin32","223"
"PyQt5","5.15.11"
"PyQt5_sip","12.17.1"
"PyQt5-Qt5","5.15.2"
"PyQtWebEngine","5.15.7"
"PyQtWebEngine-Qt5","5.15.2"
"PyRect","0.2.0"
"PyScreeze","1.0.1"
"python-dotenv","1.2.1"
"python-engineio","4.12.3"
"pythonnet","3.0.5"
"pyttsx3","2.99"
"pytweening","1.2.0"
"pywebview","6.1"
"pywin32","311"
"pywin32-ctypes","0.2.3"
"requests","2.32.5"
"requests-oauthlib","2.0.0"
"requests-toolbelt","1.0.0"
"rsa","4.9.1"
"setuptools","65.5.0"
"simple-websocket","1.1.0"
"sounddevice","0.5.3"
"soupsieve","2.8"
"SpeechRecognition","3.14.4"
"tqdm","4.67.1"
"typing_extensions","4.15.0"
"typing-inspection","0.4.2"
"uritemplate","4.2.0"
"urllib3","2.5.0"
"websockets","15.0.1"
"Werkzeug","3.1.4"
"wikipedia","1.4.0"
"wsproto","1.3.2"
"yt-dlp","2025.11.12"
